order_id,date_id,product_id,supplier_id,warehouse_id,region,order_qty,forecasted_qty,unit_cost,total_order_value,actual_lead_days,promised_lead_days,on_time_delivery,forecast_accuracy_pct,stockout_flag,return_flag
ORD00001,20250510,PRD002,SUP008,WH006,North,73,70,297.65,21728.45,13,5,0,95.71,0,0
ORD00002,20251231,PRD006,SUP002,WH002,North,89,89,242.61,21592.29,22,9,0,100.0,0,0
ORD00003,20251110,PRD031,SUP008,WH005,East,263,252,187.65,49351.95,2,4,1,95.63,0,0
ORD00004,20230502,PRD022,SUP003,WH006,West,246,258,267.44,65790.24,24,8,0,95.35,0,0
ORD00005,20240411,PRD005,SUP010,WH003,South,405,458,283.03,114627.15,15,12,0,88.43,0,0
ORD00006,20231127,PRD016,SUP007,WH003,International,478,456,928.82,443975.96,22,10,0,95.18,0,0
ORD00007,20230329,PRD008,SUP006,WH004,East,338,323,911.77,308178.26,8,18,1,95.36,0,0
ORD00008,20250521,PRD019,SUP005,WH005,South,148,159,429.55,63573.4,6,4,0,93.08,0,0
ORD00009,20230511,PRD016,SUP010,WH005,East,273,276,928.82,253567.86,4,18,1,98.91,0,0
ORD00010,20250208,PRD013,SUP002,WH003,East,325,318,99.17,32230.25,8,16,1,97.8,0,0
ORD00011,20231210,PRD026,SUP002,WH005,East,163,178,477.78,77878.14,20,15,0,91.57,0,0
ORD00012,20250316,PRD031,SUP001,WH004,East,425,475,187.65,79751.25,22,11,0,89.47,0,0
ORD00013,20240121,PRD020,SUP009,WH002,West,432,444,732.91,316617.12,5,11,1,97.3,0,0
ORD00014,20250813,PRD007,SUP008,WH003,North,141,128,541.8,76393.8,20,10,0,89.84,0,0
ORD00015,20231004,PRD031,SUP008,WH001,East,235,233,187.65,44097.75,23,9,0,99.14,0,1
ORD00016,20240404,PRD016,SUP001,WH003,South,101,101,928.82,93810.82,8,18,1,100.0,0,0
ORD00017,20230122,PRD023,SUP005,WH003,South,482,472,278.71,134338.22,14,8,0,97.88,0,0
ORD00018,20230910,PRD016,SUP006,WH002,South,127,118,928.82,117960.14,22,13,0,92.37,0,0
ORD00019,20250117,PRD029,SUP002,WH006,North,135,134,482.28,65107.8,17,10,0,99.25,0,0
ORD00020,20250506,PRD012,SUP010,WH006,North,384,378,877.03,336779.52,23,17,0,98.41,0,0
ORD00021,20240419,PRD014,SUP005,WH001,South,437,399,744.13,325184.81,20,13,0,90.48,0,0
ORD00022,20251218,PRD024,SUP006,WH001,West,236,265,484.39,114316.04,2,11,1,89.06,0,0
ORD00023,20240525,PRD018,SUP009,WH001,North,348,388,764.64,266094.72,19,18,0,89.69,0,0
ORD00024,20241130,PRD027,SUP010,WH006,North,428,461,171.86,73556.08,4,15,1,92.84,0,0
ORD00025,20250902,PRD028,SUP001,WH002,West,444,431,897.68,398569.92,14,12,0,96.98,0,0
ORD00026,20230709,PRD018,SUP010,WH005,East,188,181,764.64,143752.32,7,12,1,96.13,0,0
ORD00027,20250815,PRD016,SUP003,WH001,North,496,528,928.82,460694.72,16,11,0,93.94,1,0
ORD00028,20241117,PRD020,SUP009,WH005,South,422,436,732.91,309288.02,10,4,0,96.79,0,0
ORD00029,20250815,PRD016,SUP001,WH004,South,471,485,928.82,437474.22,11,3,0,97.11,0,0
ORD00030,20240716,PRD013,SUP001,WH002,West,94,83,99.17,9321.98,22,10,0,86.75,0,0
ORD00031,20250411,PRD026,SUP001,WH005,South,173,179,477.78,82655.94,5,18,1,96.65,0,0
ORD00032,20241008,PRD029,SUP007,WH006,International,239,268,482.28,115264.92,12,13,1,89.18,0,0
ORD00033,20230121,PRD009,SUP005,WH006,South,215,188,411.6,88494.0,24,11,0,85.64,0,0
ORD00034,20250420,PRD026,SUP006,WH001,West,113,108,477.78,53989.14,24,9,0,95.37,0,0
ORD00035,20230616,PRD028,SUP008,WH001,West,123,123,897.68,110414.64,24,12,0,100.0,0,0
ORD00036,20240123,PRD009,SUP002,WH005,West,197,208,411.6,81085.2,15,8,0,94.71,0,0
ORD00037,20240823,PRD013,SUP002,WH006,International,280,246,99.17,27767.6,24,6,0,86.18,0,1
ORD00038,20231112,PRD029,SUP003,WH005,North,60,67,482.28,28936.8,24,3,0,89.55,0,0
ORD00039,20230114,PRD004,SUP003,WH004,East,315,272,509.2,160398.0,10,6,0,84.19,0,0
ORD00040,20230830,PRD009,SUP003,WH002,South,231,256,411.6,95079.6,23,5,0,90.23,0,0
ORD00041,20250215,PRD015,SUP004,WH006,North,120,103,846.96,101635.2,2,5,1,83.5,0,1
ORD00042,20240718,PRD014,SUP003,WH003,West,64,57,744.13,47624.32,18,16,0,87.72,0,0
ORD00043,20250616,PRD019,SUP002,WH006,North,21,23,429.55,9020.55,11,7,0,91.3,0,0
ORD00044,20230402,PRD012,SUP009,WH004,North,443,491,877.03,388524.29,5,3,0,90.22,0,0
ORD00045,20250813,PRD021,SUP006,WH006,International,199,228,200.27,39853.73,6,13,1,87.28,0,0
ORD00046,20240523,PRD026,SUP003,WH004,West,398,352,477.78,190156.44,13,8,0,86.93,0,0
ORD00047,20250214,PRD025,SUP009,WH006,West,164,165,1052.26,172570.64,17,4,0,99.39,0,0
ORD00048,20230204,PRD032,SUP004,WH004,South,344,300,717.71,246892.24,16,15,0,85.33,0,0
ORD00049,20230725,PRD006,SUP004,WH001,South,355,318,242.61,86126.55,23,3,0,88.36,0,0
ORD00050,20251022,PRD003,SUP008,WH005,South,274,247,813.66,222942.84,23,10,0,89.07,0,0
ORD00051,20251018,PRD026,SUP007,WH006,South,369,321,477.78,176300.82,24,12,0,85.05,0,0
ORD00052,20240719,PRD025,SUP007,WH002,North,113,126,1052.26,118905.38,1,17,1,89.68,0,0
ORD00053,20241203,PRD022,SUP010,WH001,North,172,153,267.44,45999.68,13,5,0,87.58,0,0
ORD00054,20240206,PRD020,SUP007,WH004,South,150,156,732.91,109936.5,10,8,0,96.15,0,0
